source,target,feature_mode,top_n_genes,perm_index,null_perm_auroc
GSE63060,GSE63061,de_ttest,200,39,0.5125
GSE63060,GSE63061,de_ttest,200,40,0.45535714285714285
GSE63060,GSE63061,de_ttest,200,41,0.5375
GSE63060,GSE63061,de_ttest,200,42,0.3964285714285714
GSE63060,GSE63061,de_ttest,200,43,0.37023809523809526
GSE63060,GSE63061,de_ttest,200,44,0.455952380952381
GSE63060,GSE63061,de_ttest,200,45,0.513095238095238
GSE63060,GSE63061,de_ttest,200,46,0.4505952380952381
GSE63060,GSE63061,de_ttest,200,47,0.6190476190476191
GSE63060,GSE63061,de_ttest,200,48,0.44761904761904764
GSE63060,GSE63061,de_ttest,200,49,0.5422619047619047
GSE63060,GSE63061,de_ttest,200,50,0.5666666666666667
GSE63060,GSE63061,de_ttest,200,51,0.4440476190476191
GSE63060,GSE63061,de_ttest,200,52,0.5321428571428571
GSE63060,GSE63061,de_ttest,200,53,0.46071428571428574
GSE63060,GSE63061,de_ttest,200,54,0.5440476190476191
GSE63060,GSE63061,de_ttest,200,55,0.5261904761904762
GSE63060,GSE63061,de_ttest,200,56,0.4964285714285714
GSE63060,GSE63061,de_ttest,200,57,0.5666666666666667
GSE63060,GSE63061,de_ttest,200,58,0.4994047619047619
GSE63060,GSE63061,de_ttest,200,59,0.493452380952381
GSE63060,GSE63061,de_ttest,200,60,0.5565476190476191
GSE63060,GSE63061,de_ttest,200,61,0.4797619047619048
GSE63060,GSE63061,de_ttest,200,62,0.5410714285714286
GSE63060,GSE63061,de_ttest,200,63,0.5196428571428572
GSE63060,GSE63061,de_ttest,200,64,0.5261904761904761
GSE63060,GSE63061,de_ttest,200,65,0.4446428571428571
GSE63060,GSE63061,de_ttest,200,66,0.5184523809523809
GSE63060,GSE63061,de_ttest,200,67,0.4892857142857143
GSE63060,GSE63061,de_ttest,200,68,0.49702380952380953
GSE63060,GSE63061,de_ttest,200,69,0.4976190476190477
GSE63060,GSE63061,de_ttest,200,70,0.4226190476190476
GSE63060,GSE63061,de_ttest,200,71,0.4220238095238095
GSE63060,GSE63061,de_ttest,200,72,0.5077380952380952
GSE63060,GSE63061,de_ttest,200,73,0.506547619047619
GSE63060,GSE63061,de_ttest,200,74,0.5482142857142858
GSE63060,GSE63061,de_ttest,200,75,0.5363095238095238
GSE63060,GSE63061,de_ttest,200,76,0.5410714285714285
GSE63060,GSE63061,de_ttest,200,77,0.4851190476190476
GSE63060,GSE63061,de_ttest,200,78,0.5541666666666667
GSE63060,GSE63061,de_ttest,200,79,0.48750000000000004
GSE63060,GSE63061,de_ttest,200,80,0.5220238095238094
GSE63060,GSE63061,de_ttest,200,81,0.5244047619047619
GSE63060,GSE63061,de_ttest,200,82,0.6101190476190476
GSE63060,GSE63061,de_ttest,200,83,0.5178571428571429
GSE63060,GSE63061,de_ttest,200,84,0.5970238095238095
GSE63060,GSE63061,de_ttest,200,85,0.46726190476190477
GSE63060,GSE63061,de_ttest,200,86,0.5113095238095238
GSE63060,GSE63061,de_ttest,200,87,0.5279761904761905
GSE63060,GSE63061,de_ttest,200,88,0.419047619047619
GSE63060,GSE63061,de_ttest,200,89,0.6357142857142857
GSE63060,GSE63061,de_ttest,200,90,0.5392857142857143
GSE63060,GSE63061,de_ttest,200,91,0.5363095238095239
GSE63060,GSE63061,de_ttest,200,92,0.46964285714285714
GSE63060,GSE63061,de_ttest,200,93,0.4375
GSE63060,GSE63061,de_ttest,200,94,0.4857142857142857
GSE63060,GSE63061,de_ttest,200,95,0.44583333333333336
GSE63060,GSE63061,de_ttest,200,96,0.5196428571428572
GSE63060,GSE63061,de_ttest,200,97,0.4994047619047619
GSE63060,GSE63061,de_ttest,200,98,0.48630952380952386
GSE63060,GSE63061,de_ttest,200,99,0.3755952380952381
GSE63060,GSE63061,de_ttest,1000,0,0.5041666666666667
GSE63060,GSE63061,de_ttest,1000,1,0.5446428571428572
GSE63060,GSE63061,de_ttest,1000,2,0.42142857142857143
GSE63060,GSE63061,de_ttest,1000,3,0.518452380952381
GSE63060,GSE63061,de_ttest,1000,4,0.5071428571428571
GSE63060,GSE63061,de_ttest,1000,5,0.5547619047619048
GSE63060,GSE63061,de_ttest,1000,6,0.5476190476190477
GSE63060,GSE63061,de_ttest,1000,7,0.555952380952381
GSE63060,GSE63061,de_ttest,1000,8,0.46130952380952384
GSE63060,GSE63061,de_ttest,1000,9,0.5863095238095238
GSE63060,GSE63061,de_ttest,1000,10,0.519047619047619
GSE63060,GSE63061,de_ttest,1000,11,0.5023809523809524
GSE63060,GSE63061,de_ttest,1000,12,0.5708333333333333
GSE63060,GSE63061,de_ttest,1000,13,0.5511904761904761
GSE63060,GSE63061,de_ttest,1000,14,0.5327380952380952
GSE63060,GSE63061,de_ttest,1000,15,0.47440476190476194
GSE63060,GSE63061,de_ttest,1000,16,0.48154761904761906
GSE63060,GSE63061,de_ttest,1000,17,0.5750000000000001
GSE63060,GSE63061,de_ttest,1000,18,0.4541666666666667
GSE63060,GSE63061,de_ttest,1000,19,0.5095238095238095
GSE63060,GSE63061,de_ttest,1000,20,0.6571428571428571
GSE63060,GSE63061,de_ttest,1000,21,0.43273809523809526
GSE63060,GSE63061,de_ttest,1000,22,0.5428571428571429
GSE63060,GSE63061,de_ttest,1000,23,0.6047619047619047
GSE63060,GSE63061,de_ttest,1000,24,0.37797619047619047
GSE63060,GSE63061,de_ttest,1000,25,0.5678571428571428
GSE63060,GSE63061,de_ttest,1000,26,0.5470238095238096
GSE63060,GSE63061,de_ttest,1000,27,0.4714285714285714
GSE63060,GSE63061,de_ttest,1000,28,0.625
GSE63060,GSE63061,de_ttest,1000,29,0.549404761904762
GSE63060,GSE63061,de_ttest,1000,30,0.4994047619047619
GSE63060,GSE63061,de_ttest,1000,31,0.46726190476190477
GSE63060,GSE63061,de_ttest,1000,32,0.4357142857142857
GSE63060,GSE63061,de_ttest,1000,33,0.6279761904761905
GSE63060,GSE63061,de_ttest,1000,34,0.4666666666666667
GSE63060,GSE63061,de_ttest,1000,35,0.5523809523809524
GSE63060,GSE63061,de_ttest,1000,36,0.49523809523809526
GSE63060,GSE63061,de_ttest,1000,37,0.593452380952381
GSE63060,GSE63061,de_ttest,1000,38,0.4607142857142857
GSE63060,GSE63061,de_ttest,1000,39,0.6017857142857143
GSE63060,GSE63061,de_ttest,1000,40,0.4607142857142857
GSE63060,GSE63061,de_ttest,1000,41,0.506547619047619
GSE63060,GSE63061,de_ttest,1000,42,0.3196428571428571
GSE63060,GSE63061,de_ttest,1000,43,0.44583333333333336
GSE63060,GSE63061,de_ttest,1000,44,0.3964285714285714
GSE63060,GSE63061,de_ttest,1000,45,0.5392857142857143
GSE63060,GSE63061,de_ttest,1000,46,0.6130952380952381
GSE63060,GSE63061,de_ttest,1000,47,0.669047619047619
GSE63060,GSE63061,de_ttest,1000,48,0.493452380952381
GSE63060,GSE63061,de_ttest,1000,49,0.5595238095238095
GSE63060,GSE63061,de_ttest,1000,50,0.5517857142857143
GSE63060,GSE63061,de_ttest,1000,51,0.46726190476190477
GSE63060,GSE63061,de_ttest,1000,52,0.5482142857142857
GSE63060,GSE63061,de_ttest,1000,53,0.38452380952380955
GSE63060,GSE63061,de_ttest,1000,54,0.6428571428571429
GSE63060,GSE63061,de_ttest,1000,55,0.5059523809523809
GSE63060,GSE63061,de_ttest,1000,56,0.4898809523809523
GSE63060,GSE63061,de_ttest,1000,57,0.4744047619047619
GSE63060,GSE63061,de_ttest,1000,58,0.5273809523809524
GSE63060,GSE63061,de_ttest,1000,59,0.48333333333333334
GSE63060,GSE63061,de_ttest,1000,60,0.47500000000000003
GSE63060,GSE63061,de_ttest,1000,61,0.45892857142857146
GSE63060,GSE63061,de_ttest,1000,62,0.5869047619047619
GSE63060,GSE63061,de_ttest,1000,63,0.5476190476190476
GSE63060,GSE63061,de_ttest,1000,64,0.5273809523809524
GSE63060,GSE63061,de_ttest,1000,65,0.5238095238095238
GSE63060,GSE63061,de_ttest,1000,66,0.3386904761904762
GSE63060,GSE63061,de_ttest,1000,67,0.5607142857142857
GSE63060,GSE63061,de_ttest,1000,68,0.4845238095238095
GSE63060,GSE63061,de_ttest,1000,69,0.45892857142857146
GSE63060,GSE63061,de_ttest,1000,70,0.41964285714285715
GSE63060,GSE63061,de_ttest,1000,71,0.38333333333333336
GSE63060,GSE63061,de_ttest,1000,72,0.4636904761904762
GSE63060,GSE63061,de_ttest,1000,73,0.5619047619047619
GSE63060,GSE63061,de_ttest,1000,74,0.46011904761904765
GSE63060,GSE63061,de_ttest,1000,75,0.45178571428571423
GSE63060,GSE63061,de_ttest,1000,76,0.3863095238095238
GSE63060,GSE63061,de_ttest,1000,77,0.45119047619047614
GSE63060,GSE63061,de_ttest,1000,78,0.5767857142857142
GSE63060,GSE63061,de_ttest,1000,79,0.4589285714285715
GSE63060,GSE63061,de_ttest,1000,80,0.3773809523809524
GSE63060,GSE63061,de_ttest,1000,81,0.45357142857142857
GSE63060,GSE63061,de_ttest,1000,82,0.5136904761904761
GSE63060,GSE63061,de_ttest,1000,83,0.48035714285714287
GSE63060,GSE63061,de_ttest,1000,84,0.5297619047619049
GSE63060,GSE63061,de_ttest,1000,85,0.5285714285714286
GSE63060,GSE63061,de_ttest,1000,86,0.525595238095238
GSE63060,GSE63061,de_ttest,1000,87,0.5273809523809524
GSE63060,GSE63061,de_ttest,1000,88,0.5904761904761905
GSE63060,GSE63061,de_ttest,1000,89,0.55
GSE63060,GSE63061,de_ttest,1000,90,0.5547619047619048
GSE63060,GSE63061,de_ttest,1000,91,0.45714285714285713
GSE63060,GSE63061,de_ttest,1000,92,0.4982142857142857
GSE63060,GSE63061,de_ttest,1000,93,0.5583333333333333
GSE63060,GSE63061,de_ttest,1000,94,0.5255952380952381
GSE63060,GSE63061,de_ttest,1000,95,0.5107142857142857
GSE63060,GSE63061,de_ttest,1000,96,0.5476190476190477
GSE63060,GSE63061,de_ttest,1000,97,0.44999999999999996
GSE63060,GSE63061,de_ttest,1000,98,0.5154761904761905
GSE63060,GSE63061,de_ttest,1000,99,0.4119047619047619
GSE63060,GSE63061,agora_only,200,0,0.45952380952380956
GSE63060,GSE63061,agora_only,200,1,0.4571428571428572
GSE63060,GSE63061,agora_only,200,2,0.5571428571428572
GSE63060,GSE63061,agora_only,200,3,0.6505952380952381
GSE63060,GSE63061,agora_only,200,4,0.519047619047619
GSE63060,GSE63061,agora_only,200,5,0.5952380952380953
GSE63060,GSE63061,agora_only,200,6,0.5363095238095238
GSE63060,GSE63061,agora_only,200,7,0.5654761904761905
GSE63060,GSE63061,agora_only,200,8,0.5714285714285715
GSE63060,GSE63061,agora_only,200,9,0.5142857142857142
GSE63060,GSE63061,agora_only,200,10,0.48809523809523814
GSE63060,GSE63061,agora_only,200,11,0.5226190476190475
GSE63060,GSE63061,agora_only,200,12,0.6553571428571429
GSE63060,GSE63061,agora_only,200,13,0.5386904761904763
GSE63060,GSE63061,agora_only,200,14,0.48333333333333334
GSE63060,GSE63061,agora_only,200,15,0.41666666666666663
GSE63060,GSE63061,agora_only,200,16,0.4803571428571429
GSE63060,GSE63061,agora_only,200,17,0.5023809523809524
GSE63060,GSE63061,agora_only,200,18,0.430952380952381
GSE63060,GSE63061,agora_only,200,19,0.5125
GSE63060,GSE63061,agora_only,200,20,0.5505952380952381
GSE63060,GSE63061,agora_only,200,21,0.44285714285714284
GSE63060,GSE63061,agora_only,200,22,0.6625
GSE63060,GSE63061,agora_only,200,23,0.5660714285714286
GSE63060,GSE63061,agora_only,200,24,0.5779761904761904
GSE63060,GSE63061,agora_only,200,25,0.5625
GSE63060,GSE63061,agora_only,200,26,0.4636904761904762
GSE63060,GSE63061,agora_only,200,27,0.45892857142857146
GSE63060,GSE63061,agora_only,200,28,0.569047619047619
GSE63060,GSE63061,agora_only,200,29,0.49821428571428583
GSE63060,GSE63061,agora_only,200,30,0.5059523809523809
GSE63060,GSE63061,agora_only,200,31,0.4226190476190476
GSE63060,GSE63061,agora_only,200,32,0.4184523809523809
GSE63060,GSE63061,agora_only,200,33,0.5803571428571428
GSE63060,GSE63061,agora_only,200,34,0.4892857142857143
GSE63060,GSE63061,agora_only,200,35,0.4255952380952381
GSE63060,GSE63061,agora_only,200,36,0.4380952380952381
GSE63060,GSE63061,agora_only,200,37,0.4898809523809524
GSE63060,GSE63061,agora_only,200,38,0.38333333333333336
GSE63060,GSE63061,agora_only,200,39,0.5553571428571429
GSE63060,GSE63061,agora_only,200,40,0.5452380952380952
GSE63060,GSE63061,agora_only,200,41,0.4821428571428572
GSE63060,GSE63061,agora_only,200,42,0.44285714285714284
GSE63060,GSE63061,agora_only,200,43,0.44285714285714284
GSE63060,GSE63061,agora_only,200,44,0.42797619047619045
GSE63060,GSE63061,agora_only,200,45,0.46964285714285714
GSE63060,GSE63061,agora_only,200,46,0.6053571428571428
GSE63060,GSE63061,agora_only,200,47,0.674404761904762
GSE63060,GSE63061,agora_only,200,48,0.49761904761904757
GSE63060,GSE63061,agora_only,200,49,0.4642857142857143
GSE63060,GSE63061,agora_only,200,50,0.506547619047619
GSE63060,GSE63061,agora_only,200,51,0.5815476190476191
GSE63060,GSE63061,agora_only,200,52,0.5410714285714286
GSE63060,GSE63061,agora_only,200,53,0.5904761904761905
GSE63060,GSE63061,agora_only,200,54,0.4351190476190476
GSE63060,GSE63061,agora_only,200,55,0.506547619047619
GSE63060,GSE63061,agora_only,200,56,0.43214285714285716
GSE63060,GSE63061,agora_only,200,57,0.43928571428571433
GSE63060,GSE63061,agora_only,200,58,0.49047619047619045
GSE63060,GSE63061,agora_only,200,59,0.35357142857142854
GSE63060,GSE63061,agora_only,200,60,0.575
GSE63060,GSE63061,agora_only,200,61,0.41369047619047616
GSE63060,GSE63061,agora_only,200,62,0.5428571428571428
GSE63060,GSE63061,agora_only,200,63,0.6113095238095237
GSE63060,GSE63061,agora_only,200,64,0.5238095238095238
GSE63060,GSE63061,agora_only,200,65,0.4380952380952381
GSE63060,GSE63061,agora_only,200,66,0.33333333333333337
GSE63060,GSE63061,agora_only,200,67,0.5244047619047618
GSE63060,GSE63061,agora_only,200,68,0.5345238095238095
GSE63060,GSE63061,agora_only,200,69,0.40654761904761905
GSE63060,GSE63061,agora_only,200,70,0.48392857142857143
GSE63060,GSE63061,agora_only,200,71,0.4702380952380953
